row_id,order_id,year,Order Date,Ship Date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,Sales,Quantity,Discount,Profit,Profit Margin,Delivery Days
1,CA-2013-152156,2013,2013-11-09,2013-11-12,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.00,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2.00,0.00,41.91,16.00,3.00
2,CA-2013-152156,2013,2013-11-09,2013-11-12,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.00,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3.00,0.00,219.58,30.00,3.00
3,CA-2013-138688,2013,2013-06-13,2013-06-17,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.00,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.00,0.00,6.87,47.00,4.00
4,US-2012-108966,2012,2012-10-11,2012-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.00,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5.00,0.45,-383.03,-40.00,7.00
5,US-2012-108966,2012,2012-10-11,2012-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.00,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2.00,0.20,2.52,11.25,7.00
6,CA-2011-115812,2011,2011-06-09,2011-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.00,0.00,14.17,29.00,5.00
7,CA-2011-115812,2011,2011-06-09,2011-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.00,0.00,1.97,27.00,5.00
8,CA-2011-115812,2011,2011-06-09,2011-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6.00,0.20,90.72,10.00,5.00
9,CA-2011-115812,2011,2011-06-09,2011-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3.00,0.20,5.78,31.25,5.00
10,CA-2011-115812,2011,2011-06-09,2011-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,5.00,0.00,34.47,30.00,5.00
11,CA-2011-115812,2011,2011-06-09,2011-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9.00,0.20,85.31,5.00,5.00
12,CA-2011-115812,2011,2011-06-09,2011-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,TEC-PH-10002033,Technology,Phones,Konftel 250 ConferenceÃÂ phoneÃÂ - Charcoal black,911.42,4.00,0.20,68.36,7.50,5.00
13,CA-2014-114412,2014,2014-04-16,2014-04-21,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027.00,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3.00,0.20,5.44,35.00,5.00
14,CA-2013-161389,2013,2013-12-06,2013-12-11,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.00,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3.00,0.20,132.59,32.50,5.00
15,US-2012-118983,2012,2012-11-22,2012-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.00,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5.00,0.80,-123.86,-180.00,4.00
16,US-2012-118983,2012,2012-11-22,2012-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.00,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3.00,0.80,-3.82,-150.00,4.00
17,CA-2011-105893,2011,2011-11-11,2011-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711.00,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6.00,0.00,13.32,2.00,7.00
18,CA-2011-167164,2011,2011-05-13,2011-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084.00,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,2.00,0.00,9.99,18.00,2.00
19,CA-2011-143336,2011,2011-08-27,2011-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.00,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.00,0.00,2.48,29.00,5.00
20,CA-2011-143336,2011,2011-08-27,2011-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.00,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3.00,0.20,16.01,7.50,5.00
21,CA-2011-143336,2011,2011-08-27,2011-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.00,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.00,0.20,7.38,32.50,5.00
22,CA-2013-137330,2013,2013-12-10,2013-12-14,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.00,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.00,0.00,5.06,26.00,4.00
23,CA-2013-137330,2013,2013-12-10,2013-12-14,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.00,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.00,0.00,15.69,26.00,4.00
24,US-2014-156909,2014,2014-07-17,2014-07-19,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2.00,0.30,-1.02,-1.43,2.00
25,CA-2012-106320,2012,2012-09-25,2012-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057.00,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.00,0.00,240.26,23.00,5.00
26,CA-2013-121755,2013,2013-01-16,2013-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.00,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2.00,0.20,4.22,36.25,4.00
27,CA-2013-121755,2013,2013-01-16,2013-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.00,West,TEC-AC-10003027,Technology,Accessories,ImationÃÂ 8GB Mini TravelDrive USB 2.0ÃÂ Flash Drive,90.57,3.00,0.00,11.77,13.00,4.00
28,US-2012-150630,2012,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7.00,0.50,-1665.05,-54.00,4.00
29,US-2012-150630,2012,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2.00,0.70,-7.05,-73.33,4.00
30,US-2012-150630,2012,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,3.00,0.20,15.53,12.50,4.00
31,US-2012-150630,2012,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2.00,0.20,1.10,33.75,4.00
32,US-2012-150630,2012,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,6.00,0.20,9.71,11.25,4.00
33,US-2012-150630,2012,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6.00,0.70,-5.72,-83.33,4.00
34,US-2012-150630,2012,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.00,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2.00,0.20,3.55,22.50,4.00
35,CA-2014-107727,2014,2014-10-20,2014-10-24,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095.00,Central,OFF-PA-10000249,Office Supplies,Paper,Staples,29.47,3.00,0.20,9.95,33.75,4.00
36,CA-2013-117590,2013,2013-12-09,2013-12-11,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.00,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7.00,0.20,123.47,11.25,2.00
37,CA-2013-117590,2013,2013-12-09,2013-12-11,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.00,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5.00,0.60,-147.96,-77.50,2.00
38,CA-2012-117415,2012,2012-12-27,2012-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.00,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9.00,0.20,35.42,31.25,4.00
39,CA-2012-117415,2012,2012-12-27,2012-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.00,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3.00,0.32,-46.98,-8.82,4.00
40,CA-2012-117415,2012,2012-12-27,2012-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.00,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3.00,0.30,-15.15,-7.14,4.00
41,CA-2012-117415,2012,2012-12-27,2012-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.00,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,4.00,0.20,41.76,11.25,4.00
42,CA-2014-120999,2014,2014-09-11,2014-09-16,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540.00,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4.00,0.20,16.56,11.25,5.00
43,CA-2013-101343,2013,2013-07-18,2013-07-23,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049.00,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.00,0.00,3.89,5.00,5.00
44,CA-2014-139619,2014,2014-09-20,2014-09-24,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935.00,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2.00,0.20,9.56,10.00,4.00
45,CA-2013-118255,2013,2013-03-12,2013-03-14,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.00,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.00,0.00,19.77,43.00,2.00
46,CA-2013-118255,2013,2013-03-12,2013-03-14,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.00,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.00,0.00,8.21,47.00,2.00
47,CA-2011-146703,2011,2011-10-20,2011-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185.00,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.00,0.00,8.48,4.00,5.00
48,CA-2013-169194,2013,2013-06-21,2013-06-26,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.00,East,TEC-AC-10002167,Technology,Accessories,ImationÃÂ 8gb Micro Traveldrive Usb 2.0ÃÂ Flash Drive,45.00,3.00,0.00,4.95,11.00,5.00
49,CA-2013-169194,2013,2013-06-21,2013-06-26,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.00,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2.00,0.00,6.10,28.00,5.00
50,CA-2012-115742,2012,2012-04-18,2012-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.00,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6.00,0.00,17.96,47.00,4.00
51,CA-2012-115742,2012,2012-04-18,2012-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.00,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6.00,0.00,35.33,47.00,4.00
52,CA-2012-115742,2012,2012-04-18,2012-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.00,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.00,0.00,2.96,48.00,4.00
53,CA-2012-115742,2012,2012-04-18,2012-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.00,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1.00,0.00,17.10,19.00,4.00
